user_id,product_id,category,quantity,sale_date,batch_id
13,4,Soup,4,2024-01-01,97
8,8,Shampoo,2,2024-01-01,51
13,4,Soup,2,2024-01-01,28
23,2,Cold Drink,1,2024-01-01,100
9,8,Shampoo,4,2024-01-01,39
5,4,Soup,2,2024-01-01,65
43,10,Blanket,4,2024-01-01,86
2,8,Shampoo,3,2024-01-01,63
29,9,Mango Juice,1,2024-01-01,89
38,8,Shampoo,2,2024-01-01,90
30,8,Shampoo,1,2024-01-01,65
10,7,Milk,3,2024-01-01,38
42,5,Rice,4,2024-01-01,60
23,8,Shampoo,4,2024-01-01,79
10,7,Milk,4,2024-01-01,96
31,8,Shampoo,2,2024-01-01,55
24,6,Flour,4,2024-01-01,57
35,5,Rice,4,2024-01-01,5
42,5,Rice,3,2024-01-01,47
15,2,Cold Drink,1,2024-01-01,73
39,4,Soup,2,2024-01-01,59
6,9,Mango Juice,1,2024-01-01,69
2,3,Heater,5,2024-01-01,80
38,3,Heater,2,2024-01-01,10
49,3,Heater,1,2024-01-01,41
27,5,Rice,3,2024-01-01,42
4,7,Milk,5,2024-01-01,28
48,7,Milk,2,2024-01-01,66
26,4,Soup,1,2024-01-01,82
7,7,Milk,2,2024-01-01,2
32,4,Soup,1,2024-01-01,3
41,3,Heater,5,2024-01-01,53
30,5,Rice,3,2024-01-01,69
42,8,Shampoo,4,2024-01-01,46
18,1,Ice Cream,1,2024-01-01,56
26,5,Rice,3,2024-01-01,29
7,7,Milk,4,2024-01-01,88
27,5,Rice,5,2024-01-01,69
6,6,Flour,2,2024-01-01,42
6,7,Milk,4,2024-01-01,72
25,8,Shampoo,4,2024-01-01,93
14,4,Soup,4,2024-01-01,76
27,4,Soup,3,2024-01-01,60
7,6,Flour,5,2024-01-01,43
42,9,Mango Juice,2,2024-01-01,20
46,4,Soup,3,2024-01-01,44
11,4,Soup,3,2024-01-01,95
21,3,Heater,2,2024-01-01,27
9,8,Shampoo,1,2024-01-01,61
34,1,Ice Cream,2,2024-01-01,98
24,9,Mango Juice,1,2024-01-01,67
46,5,Rice,3,2024-01-01,85
41,3,Heater,4,2024-01-01,62
2,5,Rice,3,2024-01-01,93
18,7,Milk,4,2024-01-01,48
25,10,Blanket,1,2024-01-01,65
16,5,Rice,2,2024-01-01,2
23,8,Shampoo,4,2024-01-01,61
12,10,Blanket,2,2024-01-01,6
37,6,Flour,3,2024-01-01,46
29,7,Milk,1,2024-01-01,63
39,5,Rice,2,2024-01-01,24
32,4,Soup,4,2024-01-01,55
13,10,Blanket,2,2024-01-01,33
9,7,Milk,1,2024-01-01,57
44,9,Mango Juice,2,2024-01-01,49
33,8,Shampoo,5,2024-01-01,88
16,8,Shampoo,4,2024-01-01,100
43,5,Rice,4,2024-01-01,6
32,4,Soup,2,2024-01-01,56
37,7,Milk,2,2024-01-01,76
1,6,Flour,1,2024-01-01,46
36,7,Milk,1,2024-01-02,73
20,1,Ice Cream,2,2024-01-02,53
20,7,Milk,4,2024-01-02,84
2,10,Blanket,3,2024-01-02,49
26,2,Cold Drink,2,2024-01-02,38
40,3,Heater,1,2024-01-02,68
29,8,Shampoo,2,2024-01-02,56
25,8,Shampoo,4,2024-01-02,84
48,5,Rice,4,2024-01-02,97
15,8,Shampoo,5,2024-01-02,44
40,6,Flour,3,2024-01-02,20
22,4,Soup,4,2024-01-02,95
37,1,Ice Cream,1,2024-01-02,94
10,6,Flour,3,2024-01-02,7
19,9,Mango Juice,1,2024-01-02,63
34,3,Heater,4,2024-01-02,61
